[[1399909678000, 1],
 [1399909679000, 2],
 [1399909680000, 3],
 [1399909681000, 4],
 [1399909682000, 5],
 [1399909683000, 6],
 [1399909684000, 7],
 [1399909685000, 8],
 [1399909686000, 9],
 [1399909687000, 10],
 [1399909688000, 11],
 [1399909689000, 12],
 [1399909690000, 13],
 [1399909691000, 14],
 [1399909692000, 15],
 [1399909693000, 16],
 [1399909694000, 17],
 [1399909695000, 18],
 [1399909696000, 19],
 [1399909697000, 20],
 [1399909698000, 21],
 [1399909699000, 22],
 [1399909700000, 23],
 [1399909701000, 24],
 [1399909702000, 25],
 [1399909703000, 26],
 [1399909704000, 27],
 [1399909705000, 28],
 [1399909706000, 29],
 [1399909707000, 30],
 [1399909708000, 31],
 [1399909709000, 32],
 [1399909710000, 33],
 [1399909711000, 34],
 [1399909712000, 35],
 [1399909713000, 36],
 [1399909714000, 37],
 [1399909715000, 38],
 [1399909716000, 39],
 [1399909717000, 40],
 [1399909718000, 41],
 [1399909719000, 42],
 [1399909720000, 43],
 [1399909721000, 44],
 [1399909722000, 45],
 [1399909723000, 46],
 [1399909724000, 47],
 [1399909725000, 48],
 [1399909726000, 49],
 [1399909727000, 50],
 [1399909728000, 51],
 [1399909729000, 52],
 [1399909730000, 53],
 [1399909731000, 54],
 [1399909732000, 55],
 [1399909733000, 56],
 [1399909734000, 57],
 [1399909735000, 58],
 [1399909736000, 59],
 [1399909737000, 60],
 [1399909738000, 61],
 [1399909739000, 62],
 [1399909740000, 63],
 [1399909741000, 64],
 [1399909742000, 65],
 [1399909743000, 66],
 [1399909744000, 67],
 [1399909745000, 68],
 [1399909746000, 69],
 [1399909747000, 70],
 [1399909748000, 71],
 [1399909749000, 72],
 [1399909750000, 73],
 [1399909751000, 74],
 [1399909752000, 75],
 [1399909753000, 76],
 [1399909754000, 77],
 [1399909755000, 78],
 [1399909756000, 79],
 [1399909757000, 80],
 [1399909758000, 81],
 [1399909759000, 82],
 [1399909760000, 83],
 [1399909761000, 84],
 [1399909762000, 85],
 [1399909763000, 86],
 [1399909764000, 87],
 [1399909765000, 88],
 [1399909766000, 89],
 [1399909767000, 90],
 [1399909768000, 91],
 [1399909769000, 92],
 [1399909770000, 93],
 [1399909771000, 94],
 [1399909772000, 95],
 [1399909773000, 96],
 [1399909774000, 97],
 [1399909775000, 98],
 [1399909776000, 99],
 [1399909777000, 100],
 [1399909778000, 101],
 [1399909779000, 102],
 [1399909780000, 103],
 [1399909781000, 104],
 [1399909782000, 105],
 [1399909783000, 106],
 [1399909784000, 107],
 [1399909785000, 108],
 [1399909786000, 109],
 [1399909787000, 110],
 [1399909788000, 111],
 [1399909789000, 112],
 [1399909790000, 113],
 [1399909791000, 114],
 [1399909792000, 115],
 [1399909793000, 116],
 [1399909794000, 117],
 [1399909795000, 118],
 [1399909796000, 119],
 [1399909797000, 120],
 [1399909798000, 121],
 [1399909799000, 122],
 [1399909800000, 123],
 [1399909801000, 124],
 [1399909802000, 125],
 [1399909803000, 126],
 [1399909804000, 127],
 [1399909805000, 128],
 [1399909806000, 129],
 [1399909807000, 130],
 [1399909808000, 131],
 [1399909809000, 132],
 [1399909810000, 133],
 [1399909811000, 134],
 [1399909812000, 135],
 [1399909813000, 136],
 [1399909814000, 137],
 [1399909815000, 138],
 [1399909816000, 139],
 [1399909817000, 140],
 [1399909818000, 141],
 [1399909819000, 142],
 [1399909820000, 143],
 [1399909821000, 144],
 [1399909822000, 145],
 [1399909823000, 146],
 [1399909824000, 147],
 [1399909825000, 148],
 [1399909826000, 149],
 [1399909827000, 150],
 [1399909828000, 151],
 [1399909829000, 152],
 [1399909830000, 153],
 [1399909831000, 154],
 [1399909832000, 155],
 [1399909833000, 156],
 [1399909834000, 157],
 [1399909835000, 158],
 [1399909836000, 159],
 [1399909837000, 160],
 [1399909838000, 161],
 [1399909839000, 162],
 [1399909840000, 163],
 [1399909841000, 164],
 [1399909842000, 165],
 [1399909843000, 166],
 [1399909844000, 167],
 [1399909845000, 168],
 [1399909846000, 169],
 [1399909847000, 170],
 [1399909848000, 171],
 [1399909849000, 172],
 [1399909850000, 173],
 [1399909851000, 174],
 [1399909852000, 175],
 [1399909853000, 176],
 [1399909854000, 177],
 [1399909855000, 178],
 [1399909856000, 179],
 [1399909857000, 180],
 [1399909858000, 181],
 [1399909859000, 182],
 [1399909860000, 183],
 [1399909861000, 184],
 [1399909862000, 185],
 [1399909863000, 186],
 [1399909864000, 187],
 [1399909865000, 188],
 [1399909866000, 189],
 [1399909867000, 190],
 [1399909868000, 191],
 [1399909869000, 192],
 [1399909870000, 193],
 [1399909871000, 194],
 [1399909872000, 195],
 [1399909873000, 196],
 [1399909874000, 197],
 [1399909875000, 198],
 [1399909876000, 199],
 [1399909877000, 200],
 [1399909878000, 201],
 [1399909879000, 202],
 [1399909880000, 203],
 [1399909881000, 204],
 [1399909882000, 205],
 [1399909883000, 206],
 [1399909884000, 207],
 [1399909885000, 208],
 [1399909886000, 209],
 [1399909887000, 210],
 [1399909888000, 211],
 [1399909889000, 212],
 [1399909890000, 213],
 [1399909891000, 214],
 [1399909892000, 215],
 [1399909893000, 216],
 [1399909894000, 217],
 [1399909895000, 218],
 [1399909896000, 219],
 [1399909897000, 220],
 [1399909898000, 221],
 [1399909899000, 222],
 [1399909900000, 223],
 [1399909901000, 224],
 [1399909902000, 225],
 [1399909903000, 226],
 [1399909904000, 227],
 [1399909905000, 228],
 [1399909906000, 229],
 [1399909907000, 230],
 [1399909908000, 231],
 [1399909909000, 232],
 [1399909910000, 233],
 [1399909911000, 234],
 [1399909912000, 235],
 [1399909913000, 236],
 [1399909914000, 237],
 [1399909915000, 238],
 [1399909916000, 239],
 [1399909917000, 240],
 [1399909918000, 241],
 [1399909919000, 242],
 [1399909920000, 243],
 [1399909921000, 244],
 [1399909922000, 245],
 [1399909923000, 246],
 [1399909924000, 247],
 [1399909925000, 248],
 [1399909926000, 249],
 [1399909927000, 250],
 [1399909928000, 251],
 [1399909929000, 252],
 [1399909930000, 253],
 [1399909931000, 254],
 [1399909932000, 255],
 [1399909933000, 256],
 [1399909934000, 257],
 [1399909935000, 258],
 [1399909936000, 259],
 [1399909937000, 260],
 [1399909938000, 261],
 [1399909939000, 262],
 [1399909940000, 263],
 [1399909941000, 264],
 [1399909942000, 265],
